replicate,mt_raw_mean_tv,y_raw_mean_tv,delta_y_minus_mt_raw,mt_noise_floor_subtracted_mean_tv,y_noise_floor_subtracted_mean_tv,delta_y_minus_mt_noise_floor_subtracted,mt_parametric_bias_corrected_mean_tv,y_parametric_bias_corrected_mean_tv,delta_y_minus_mt_parametric_bias_corrected
116,0.5797425502187407,0.43369666048237476,-0.1460458897363659,0.16883900249072692,0.13668596403713001,-0.032153038453596905,0.33854213983580966,0.3206614656020559,-0.01788067423375378
117,0.6735719967862825,0.4965467072609929,-0.17702528952528962,0.2285032025741532,0.19557399046487284,-0.032929212109280376,0.4323715864033515,0.38351151238067416,-0.048860074022677336
118,0.6119669748241178,0.44546422964790316,-0.1665027451762146,0.17093972059977838,0.13809508212992155,-0.03284463846985683,0.37076656444118655,0.3324290347675843,-0.038337529673602266
119,0.5584336298622014,0.4697780394208966,-0.08865559044130478,0.12777336739610376,0.168493431411026,0.04072006401492223,0.3172332194792703,0.3567428445405777,0.039509625061307396
120,0.6408008355967539,0.5268187311554658,-0.11398210444128809,0.19573204138462466,0.22409469591133155,0.028362654526706887,0.39960042521382294,0.413783536275147,0.014183111061324083
121,0.6503727753727754,0.5619013261870405,-0.08847144918573491,0.2053039811606461,0.2535308536646982,0.04822687250405208,0.40917236498984433,0.4488661313067216,0.039693766316877266
122,0.6303187941843404,0.5202541016406562,-0.11006469254368423,0.1852499999722111,0.211883629118314,0.0266336291461029,0.38911838380140945,0.40721890676033745,0.018100522958928
123,0.6551050244659268,0.47838405537653655,-0.17672096908939022,0.2152112302537974,0.18201716102230367,-0.033194069231493734,0.41390461408299567,0.3653488604962178,-0.04855575358677788
124,0.6026627276627278,0.48959475974782096,-0.11306796791490681,0.1575939334505984,0.18122428722547876,0.023630353774880347,0.3614623172797966,0.37655956486750214,0.015097247587705531
125,0.6770294720759118,0.40528571875321096,-0.27174375332270084,0.2319606778637824,0.11214672218488672,-0.11981395567889569,0.4358290616929807,0.29225052387289213,-0.14357853782008856
126,0.6030157517552476,0.5113506008463992,-0.09166515090884841,0.1588935216965574,0.20931748466053085,0.050423962963973445,0.3618153413723165,0.39831540596608034,0.036500064593763815
127,0.5629092572701595,0.4770388272267972,-0.08587043004336231,0.12434258276702494,0.17782352985638702,0.05348094708936209,0.32170884688722845,0.3640036323464784,0.04229478545924997
128,0.6204319985569986,0.4437139249639249,-0.17671807359307368,0.1753632043448692,0.13616132825857613,-0.03920187608629308,0.37923158817406755,0.3306787300836061,-0.04855285809046145
